gene_claim_name	gene_name	entrez_id	gene_claim_source
SELL	SELL	6402	GO
ENSG00000160191	PDE9A	5152	Ensembl
ENSG00000283941	MIR600	693185	Ensembl
ENSG00000207117			Ensembl
ENSG00000273350			Ensembl
ENSG00000207551	MIR608	693193	Ensembl
ENSG00000113391	FAM172A	83989	Ensembl
ENSG00000261744			Ensembl
ENSG00000164266	SPINK1	6690	Ensembl
ENSG00000283031			Ensembl
ENSG00000183808	RBM12B	389677	Ensembl
ENSG00000261052	SULT1A3	6818	Ensembl
ENSG00000180176	TH	7054	Ensembl
NDE1	NDE1	54820	GO
DUSP14	DUSP14	11072	GO
ENSG00000163788	SNRK	54861	Ensembl
ENSG00000267396			Ensembl
ENSG00000272004			Ensembl
1026	SLC22A7	10864	GuideToPharmacologyGenes
CCL17	CCL17	6361	NCI
ENSG00000167720	SRR	63826	Ensembl
676	TAS2R40	259286	GuideToPharmacologyGenes
KCNV2	KCNV2	169522	ChemblInteractions
ENSG00000139679	LPAR6	10161	HingoraniCasas
ENSG00000120251	GRIA2	2891	RussLampel
ENSG00000236768			Ensembl
ENSG00000183207	RUVBL2	10856	Ensembl
ENSG00000265727	RN7SL648P	106479459	Ensembl
ENSG00000236179	PRAMEF35P	100419649	Ensembl
ENSG00000258205			Ensembl
KCNH8	KCNH8	131096	GO
ENSG00000255504			Ensembl
ENSG00000232063			Ensembl
ENSG00000279050	PWAR1	145624	Ensembl
KRAS	KRAS	3845	CancerCommons
ENSG00000183938	TRBV21OR9-2	6959	Ensembl
ENSG00000230920			Ensembl
ENSG00000152137	HSPB8	26353	Ensembl
2109	MTOR	2475	GuideToPharmacologyGenes
ENSG00000269982			Ensembl
ENSG00000226167	AP4B1-AS1	100287722	Ensembl
ENSG00000257202			Ensembl
ENSG00000235786	ZNRF3-IT1	100874339	Ensembl
ENSG00000196313	POM121	9883	Ensembl
ENSG00000131089	ARHGEF9	23229	Ensembl
TET2	TET2	54790	MskImpact
ENSG00000251857	RNA5SP362	100873621	Ensembl
TREK2	KCNK10	54207	ChemblInteractions
ENSG00000118257	NRP2	8828	Ensembl
ENSG00000257896			Ensembl
ENSG00000163629	PTPN13	5783	HingoraniCasas
ENSG00000224341			Ensembl
MEK1	MAP2K1	5604	ChemblInteractions
ENSG00000141127	PRPSAP2	5636	Ensembl
ENSG00000182974	OR4M2	390538	Ensembl
ENSG00000175928	LRRN1	57633	Ensembl
ENSG00000131808	FSHB	2488	HingoraniCasas
ENSG00000259726	CSPG4P11	100631254	Ensembl
KDM4A	KDM4A	9682	GO
ENSG00000101966	XIAP	331	Ensembl
ENSG00000197265	GTF2E2	2961	Ensembl
Q08345	DDR1	780	HopkinsGroom
TTDC00128	KCNQ3	3786	TTD
ENSG00000226427	HMGN2P7	644498	Ensembl
ENSG00000211793	TRAV9-2	28677	Ensembl
ENSG00000165841	CYP2C19	1557	Ensembl
ENSG00000280110			Ensembl
ENSG00000178093	TSSK6	83983	HingoraniCasas
ENSG00000244044	RN7SL735P	106480529	Ensembl
ENSG00000232309			Ensembl
ENSG00000229690	MTCO2P1	140909	Ensembl
878	SLC2A4	6517	GuideToPharmacologyInteractions
ENSG00000274046			Ensembl
NDUFA4	NDUFA4	4697	ChemblInteractions
6788	STK3	6788	dGene
ENSG00000175279	CENPS	378708	Ensembl
TP73	TP73	7161	NCI
ENSG00000213965	NUDT19	390916	Ensembl
ENSG00000256720	BTG1P1	100129641	Ensembl
ENSG00000227740			Ensembl
ENSG00000250723			Ensembl
ENSG00000164893	SLC7A13	157724	Ensembl
ENSG00000180871	CXCR2	3579	HingoraniCasas
ENSG00000134058	CDK7	1022	Ensembl
ENSG00000133878	DUSP26	78986	Ensembl
PRIPR	PTGIR	5739	ChemblInteractions
IDH2	IDH2	3418	CIViC
783	ABCC5	10057	GuideToPharmacologyGenes
ENSG00000174715			Ensembl
ENSG00000259396			Ensembl
BCHE	BCHE	590	NCI
ENSG00000235091			Ensembl
874	SLC1A5	6510	GuideToPharmacologyGenes
1673	ADAM33	80332	GuideToPharmacologyGenes
ENSG00000267192			Ensembl
ENSG00000232085			Ensembl
ENSG00000212392			Ensembl
ENSG00000077147	TM9SF3	56889	Ensembl
ENSG00000133935	ERG28	11161	Ensembl
P27338	MAOB	4129	TdgClinicalTrial
ENSG00000271605	MILR1	284021	Ensembl
ENSG00000204021	LIPK	643414	HingoraniCasas
ENSG00000211833	TRAJ58	28697	Ensembl
ENSG00000182814	FUNDC2P2	388965	Ensembl
ENSG00000070610	GBA2	57704	HingoraniCasas
ENSG00000166268	MYRFL	196446	Ensembl
ENSG00000280444			Ensembl
ENSG00000240424			Ensembl
ENSG00000154025	SLC5A10	125206	Ensembl
ENSG00000255548			Ensembl
ENSG00000198189	HSD17B11	51170	Ensembl
924	SLC5A3	6526	GuideToPharmacologyInteractions
Q9P0X4	CACNA1I	8911	HopkinsGroom
ENSG00000163395	IGFN1	91156	Ensembl
ENSG00000251602			Ensembl
ENSG00000183723	CMTM4	146223	Ensembl
IGHV3-48	IGHV3-48	28424	GO
ENSG00000237775	DDR1-AS1	414771	Ensembl
PRDM2	PRDM2	7799	BaderLabGenes
135946	OR6B1	135946	dGene
ENSG00000252302	RNA5SP147	100873414	Ensembl
KIT	KIT	3815	MskImpact
ENSG00000134470	IL15RA	3601	Ensembl
P49336	CDK8	1024	HopkinsGroom
ENSG00000104312	RIPK2	8767	HingoraniCasas
ENSG00000173930	SLCO4C1	353189	HingoraniCasas
ENSG00000240589	RN7SL258P	106480373	Ensembl
MRE11	MRE11	4361	GO
ENSG00000259507			Ensembl
ENSG00000248394	FOSL1P1	100419062	Ensembl
ENSG00000236747	LINC01282	101927449	Ensembl
ENSG00000166246	C16ORF71	146562	Ensembl
ENSG00000283591	MIR4430	100616136	Ensembl
ENSG00000235315	RPL23AP69	100271623	Ensembl
ENSG00000113552	GNPDA1	10007	Ensembl
ENSG00000196214	ZNF766	90321	Ensembl
ENSG00000241098	LINC01994	401103	Ensembl
ENSG00000185614	FAM212A	389119	Ensembl
ENSG00000254111			Ensembl
ENSG00000222872	RNU4-78P	106479594	Ensembl
ENSG00000142875	PRKACB	5567	RussLampel
ENSG00000218351	RPS3AP23	100271131	Ensembl
ENSG00000186244			Ensembl
ENSG00000185958	FAM186A	121006	Ensembl
ENSG00000236261			Ensembl
ENSG00000235427			Ensembl
SEMA3C	SEMA3C	10512	GO
ENSG00000277447			Ensembl
627	PGR	5241	GuideToPharmacologyGenes
ENSG00000153531	ADPRHL1	113622	Ensembl
HOXA7	HOXA7	3204	GO
ENSG00000107815	TWNK	56652	Ensembl
ENSG00000279616			Ensembl
ENSG00000210174	MT-TR	4573	Ensembl
ENSG00000151014	NOCT	25819	RussLampel
SETD7	SETD7	80854	GO
CDK4	CDK4	1019	GO
ENSG00000279779			Ensembl
391622	USP17L6P	391622	dGene
ENSG00000101282	RSPO4	343637	Ensembl
YES1	YES1	7525	BaderLabGenes
ENSG00000267627			Ensembl
H7C423			GO
HGF	HGF	3082	CancerCommons
ENSG00000179443	OR13C6P	392311	Ensembl
ENSG00000241458	RPL7P19	100270853	Ensembl
ENSG00000170955	CAVIN3	112464	Ensembl
NTRR	NTSR1	4923	ChemblInteractions
ENSG00000161980	POLR3K	51728	Ensembl
ENSG00000101773	RBBP8	5932	Ensembl
CDK7	CDK7	1022	GO
ENSG00000151414	NEK7	140609	RussLampel
ENSG00000238669	RNU6-333P	106480571	Ensembl
FZD8	FZD8	8325	ChemblInteractions
ENSG00000276026			Ensembl
ENSG00000088386	SLC15A1	6564	HingoraniCasas
ENSG00000091536	MYO15A	51168	Ensembl
ENSG00000207308	RNU6-878P	106479954	Ensembl
ENSG00000127377	CRYGN	155051	Ensembl
MYF6	MYF6	4618	GO
ENSG00000240997	RN7SL183P	106480971	Ensembl
ENSG00000177455	CD19	930	HingoraniCasas
ENSG00000251467			Ensembl
ENSG00000226273			Ensembl
ENSG00000226842			Ensembl
ENSG00000256196			Ensembl
PPP2R2D	PPP2R2D	55844	GO
ENSG00000233663			Ensembl
ENSG00000116151	MORN1	79906	Ensembl
ENSG00000273139			Ensembl
ENSG00000249697			Ensembl
ENSG00000131013	PPIL4	85313	HingoraniCasas
ENSG00000279632			Ensembl
NPC1	NPC1	4864	GO
ENSG00000199806	RNA5SP491	100873733	Ensembl
ENSG00000249662	LINC02218	102723526	Ensembl
ENSG00000240871	KRTAP4-7	100132476	Ensembl
ENSG00000199740			Ensembl
318	OPRK1	4986	GuideToPharmacologyInteractions
P53609	PGGT1B	5229	TdgClinicalTrial
ENSG00000279724			Ensembl
ENSG00000196776	CD47	961	Ensembl
ENSG00000205426	KRT81	3887	Ensembl
ENSG00000183682	BMP8A	353500	HingoraniCasas
ENSG00000148660	CAMK2G	818	HingoraniCasas
GNA11	GNA11	2767	MskImpact
ENSG00000251032	CUL1P1	100288463	Ensembl
MEK1	MAP2K1	5604	TALC
ENSG00000204923	FBXO48	554251	Ensembl
ENSG00000177984	LCN15	389812	Ensembl
ENSG00000197037	ZSCAN25	221785	Ensembl
ENSG00000143543	JTB	10899	Ensembl
ENSG00000244301	AOX3P	107126360	Ensembl
ENSG00000236145			Ensembl
ENSG00000270904			Ensembl
ENSG00000143839	REN	5972	Ensembl
ENSG00000201809	SNORD118	727676	Ensembl
ENSG00000258884	LINC02321	105370623	Ensembl
ENSG00000249056			Ensembl
ENSG00000271547			Ensembl
BRAF	BRAF	673	DoCM
ENSG00000257890			Ensembl
ENSG00000284638			Ensembl
ENSG00000247287			Ensembl
ENSG00000158764	ITLN2	142683	RussLampel
ENSG00000266450			Ensembl
ENSG00000186367	KIAA1024L	100127206	Ensembl
ENSG00000132122	SPATA6	54558	Ensembl
P08887	IL6R	3570	TEND
TTDS00072			TTD
ENSG00000187609	EXD3	54932	Ensembl
ENSG00000181785	OR5AS1	219447	RussLampel
KIAA0736	SV2A	9900	ChemblInteractions
ENSG00000270299			Ensembl
Q8WWZ7	ABCA5	23461	TdgClinicalTrial
ENSG00000227217			Ensembl
EYA4	EYA4	2070	GO
ENSG00000260994	AGGF1P7	100132606	Ensembl
ENSG00000254034	INTS9-AS1	109729178	Ensembl
ENSG00000235746	CTBP2P2	100130970	Ensembl
ENSG00000226933	NRBF2P2	100114903	Ensembl
ENSG00000015285	WAS	7454	Ensembl
ENSG00000104517	UBR5	51366	Ensembl
NUP160	NUP160	23279	GO
Q5VT25	CDC42BPA	8476	HopkinsGroom
ENSG00000283978	MIR365B	100126356	Ensembl
256394	SERPINA11	256394	dGene
ENSG00000207053	RNU6-937P	106479980	Ensembl
ENSG00000270577			Ensembl
PTPRR	PTPRR	5801	GO
DDR2	DDR2	4921	DoCM
ENSG00000264741	MIR4505	100616158	Ensembl
GRM6	GRM6	2916	GO
ENSG00000114948	ADAM23	8745	HingoraniCasas
ENSG00000234863			Ensembl
ENSG00000266582	MIR4527	100616264	Ensembl
4887	NPY2R	4887	dGene
ENSG00000268181			Ensembl
ENSG00000206530	CFAP44	55779	Ensembl
ENSG00000225176	ATP5LP4	100130396	Ensembl
P10721	KIT	3815	HopkinsGroom
ENSG00000259819			Ensembl
ENSG00000138722	MMRN1	22915	Ensembl
1247	DDAH1	23576	GuideToPharmacologyInteractions
P35030	PRSS3	5646	TdgClinicalTrial
ENSG00000251174	TSEN2P1	391718	Ensembl
ENSG00000263326			Ensembl
ENSG00000275154			Ensembl
ENSG00000226048	YBX1P8	100861476	Ensembl
ENSG00000224042	MTND4P6	100873192	Ensembl
ENSG00000279108			Ensembl
P07949	RET	5979	TdgClinicalTrial
MAP3K14	MAP3K14	9020	GO
ENSG00000173852	DPY19L1	23333	Ensembl
ENSG00000224982	TMEM233	387890	Ensembl
ENSG00000261799			Ensembl
ENSG00000250282			Ensembl
ENSG00000233876	GAPDHP68	100132601	Ensembl
ENSG00000182175	RGMA	56963	Ensembl
ENSG00000203396			Ensembl
TERF2IP	TERF2IP	54386	GO
1479	AKT1	207	GuideToPharmacologyGenes
MAPKAPK5	MAPKAPK5	8550	GO
ENSG00000276963			Ensembl
ENSG00000261206	LINC00561	100861545	Ensembl
P55085	F2RL1	2150	HopkinsGroom
ENSG00000236534	H3F3BP1	100287087	Ensembl
HMMR	HMMR	3161	GO
ENSG00000244045	TMEM199	147007	Ensembl
2722	BAZ2B	29994	GuideToPharmacologyInteractions
ENSG00000117151	CTBS	1486	HingoraniCasas
SETD2	SETD2	29072	GO
148	LGR5	8549	GuideToPharmacologyInteractions
ENSG00000211677	IGLC2	3538	Ensembl
ENSG00000264970			Ensembl
ENSG00000200215	SNORD113-6	767566	Ensembl
ENSG00000171481	OR1L3	26735	RussLampel
259295	TAS2R20	259295	dGene
P22455	FGFR4	2264	HopkinsGroom
ENSG00000199220			Ensembl
ENSG00000273956			Ensembl
ENSG00000269526	ERVV-1	147664	Ensembl
ENSG00000135436	FAM186B	84070	Ensembl
1574	METAP1D	254042	GuideToPharmacologyGenes
ENSG00000006712	PAF1	54623	Ensembl
ENSG00000167914	GSDMA	284110	Ensembl
ENSG00000121966	CXCR4	7852	Ensembl
CRADD	CRADD	8738	GO
ENSG00000264660			Ensembl
ENSG00000174332	GLIS1	148979	Ensembl
P41231	P2RY2	5029	TdgClinicalTrial
ENSG00000091879	ANGPT2	285	Ensembl
GRIA2	GRIA2	2891	GO
ENSG00000148840	PPRC1	23082	Ensembl
PGR	PGR	5241	FDA
ENSG00000123374	CDK2	1017	RussLampel
ENSG00000237276	ANO7L1	101927546	Ensembl
390144	OR5D16	390144	dGene
ENSG00000261487			Ensembl
ENSG00000258845			Ensembl
ENSG00000265956	MIR4445	100616129	Ensembl
ENSG00000049759	NEDD4L	23327	Ensembl
ENSG00000236818	ARL5AP2	641380	Ensembl
2000	CSNK1G2	1455	GuideToPharmacologyInteractions
NUDT16	NUDT16	131870	GO
ENSG00000169635	HIC2	23119	Ensembl
219952	OR6Q1	219952	dGene
ENSG00000235893			Ensembl
ENSG00000238103	RPL9P7	6126	Ensembl
ENSG00000253287			Ensembl
ENSG00000258556	LINC02322	101927729	Ensembl
Q13822	ENPP2	5168	HopkinsGroom
ENSG00000237505	PKN2-AS1	101927891	Ensembl
ENSG00000264272			Ensembl
NCOA3	NCOA3	8202	GO
ENSG00000206710	RNU6-147P	106480556	Ensembl
TOP2A	TOP2A	7153	CarisMolecularIntelligence
1019	CDK4	1019	dGene
ENSG00000236494			Ensembl
ENSG00000132677	RHBG	57127	RussLampel
ENSG00000171532	NEUROD2	4761	Ensembl
P02452	COL1A1	1277	TdgClinicalTrial
ENSG00000254744			Ensembl
GPRC3A	GABBR1	2550	ChemblInteractions
ENSG00000206644	RNU6-1279P	106480655	Ensembl
ENSG00000241697	TMEFF1	8577	Ensembl
ENSG00000242180	OR51B5	282763	Ensembl
Q8N1C3	GABRG1	2565	TdgClinicalTrial
ENSG00000140450	ARRDC4	91947	Ensembl
ENSG00000221190	MIR1184-2	100422985	Ensembl
ENSG00000269763	EXOSC3P2	100190954	Ensembl
ENSG00000266979	LINC01180	101927017	Ensembl
ENSG00000283130			Ensembl
POLR2J	POLR2J	5439	GO
ENSG00000269067	ZNF728	388523	Ensembl
ENSG00000278837			Ensembl
ENSG00000199986	RNU6-486P	106481898	Ensembl
ENSG00000165194	PCDH19	57526	Ensembl
ENSG00000110628	SLC22A18	5002	Ensembl
ENSG00000167346	MMP26	56547	Ensembl
ENSG00000279106			Ensembl
ENSG00000134899	ERCC5	2073	HingoraniCasas
CBLB	CBLB	868	GO
ENSG00000177485	ZBTB33	10009	Ensembl
860	ATP9A	10079	GuideToPharmacologyGenes
ENSG00000198691	ABCA4	24	RussLampel
ENSG00000204220	PFDN6	10471	Ensembl
P36888	FLT3	2322	TdgClinicalTrial
ENSG00000156170	NDUFAF6	137682	Ensembl
ENSG00000261399			Ensembl
ENSG00000163482	STK36	27148	Ensembl
P54753	EPHB3	2049	HopkinsGroom
CAV2	CAV2	858	GO
ENSG00000132535	DLG4	1742	Ensembl
ENSG00000227350			Ensembl
ENSG00000254912			Ensembl
ENSG00000213846			Ensembl
ENSG00000228538			Ensembl
699	CLCN2	1181	GuideToPharmacologyGenes
TAF6	TAF6	6878	GO
ENSG00000218153	KRT18P22	442252	Ensembl
ENSG00000105137	SYDE1	85360	Ensembl
GPR42	GPR42	2866	GO
CA2	CA2	760	NCI
ENSG00000235932			Ensembl
ENSG00000104859	CLASRP	11129	Ensembl
2367	GGH	8836	GuideToPharmacologyGenes
ENSG00000237752			Ensembl
ENSG00000182783	OR2T29	343563	RussLampel
CEBPB	CEBPB	1051	GO
ENSG00000270798			Ensembl
ENSG00000240477			Ensembl
ENSG00000269235	ZNF350-AS1	101669766	Ensembl
ENSG00000180815	MAP3K15	389840	HingoraniCasas
BLMH	BLMH	642	GO
PPP5C	PPP5C	5536	GO
ENSG00000235552			Ensembl
ENSG00000076201	PTPN23	25930	RussLampel
ENSG00000283792	MIR4453	100616193	Ensembl
ENSG00000267521			Ensembl
ENSG00000262879			Ensembl
ENSG00000109390	NDUFC1	4717	Ensembl
ENSG00000271661	BNIP3P36	106481696	Ensembl
ENSG00000127952	STYXL1	51657	Ensembl
ENSG00000251356	RAB5CP2	133789	Ensembl
NUP62	NUP62	23636	GO
ENSG00000179698	WDR97	340390	Ensembl
HDAC8	HDAC8	55869	GO
ENSG00000238262	NTM-IT	100874281	Ensembl
ENSG00000162517	PEF1	553115	Ensembl
ENSG00000255234			Ensembl
SLC9C2	SLC9C2	284525	GO
ENSG00000169131	ZNF354A	6940	Ensembl
ENSG00000234981			Ensembl
ENSG00000257747	LINC02426	101928449	Ensembl
USP17L3	USP17L3	645836	GO
ENSG00000141965	FEM1A	55527	Ensembl
ENSG00000258651	SEC23A-AS1	105370458	Ensembl
ENSG00000256084			Ensembl
ENSG00000248476			Ensembl
Q16552	IL17A	3605	TdgClinicalTrial
MMP11	MMP11	4320	GO
P08235	NR3C2	4306	HopkinsGroom
ENSG00000196642	RABL6	55684	Ensembl
ENSG00000280407			Ensembl
NSMCE2	NSMCE2	286053	GO
ENSG00000267984			Ensembl
ENSG00000159899	NPR2	4882	RussLampel
ENSG00000231173			Ensembl
ENSG00000198523	PLN	5350	Ensembl
ENSG00000214188	ST7-OT4	338069	Ensembl
1614	ACE2	59272	GuideToPharmacologyGenes
ENSG00000153015	CWC27	10283	RussLampel
ENSG00000187103	FUNDC2P3	644625	Ensembl
ENSG00000270712			Ensembl
NEK6	NEK6	10783	GO
ENSG00000206973	RNU6-1145P	106481541	Ensembl
2001	CSNK1G3	1456	GuideToPharmacologyGenes
ENSG00000254897			Ensembl
2620	HDAC9	9734	GuideToPharmacologyInteractions
ENSG00000249745	HMGB1P28	100133310	Ensembl
ENSG00000221510	MIR548O	100313829	Ensembl
P09237	MMP7	4316	HopkinsGroom
ENSG00000261646			Ensembl
ENSG00000092148	HECTD1	25831	Ensembl
1824	EPHA4	2043	GuideToPharmacologyInteractions
TIMM23B	TIMM23B	100652748	GO
ENSG00000255145	STX17-AS1	441461	Ensembl
ENSG00000118972	FGF23	8074	HingoraniCasas
P35968	KDR	3791	TdgClinicalTrial
ENSG00000278333			Ensembl
ENSG00000120555	SEPT7P9	285961	Ensembl
LATS2	LATS2	26524	MskImpact
ENSG00000249183	SUMO2P4	100288757	Ensembl
ENSG00000283637	MIR4776-2	100616472	Ensembl
10290	SPEG	10290	dGene
Q92633	LPAR1	1902	TdgClinicalTrial
ENSG00000241112	RPL29P14	100270974	Ensembl
ENSG00000201240	SNORD114-9	767585	Ensembl
TNFRSF11A	TNFRSF11A	8792	GO
Q9HBI6	CYP4F11	57834	HopkinsGroom
ENSG00000250492	INTS6P1	285634	Ensembl
ENSG00000257341	CRIP1	1396	Ensembl
ENSG00000236252			Ensembl
ENSG00000147119	CHST7	56548	Ensembl
ENSG00000135127	BICDL1	92558	Ensembl
ENSG00000222112	RN7SKP16	106480837	Ensembl
DOCK10	DOCK10	55619	NCI
ENSG00000225386			Ensembl
2579	ITGA2	3673	GuideToPharmacologyInteractions
ENSG00000248639			Ensembl
ENSG00000276556			Ensembl
ENSG00000175416	CLTB	1212	Ensembl
ENSG00000240751			Ensembl
Q99250	SCN2A	6326	TEND
ENSG00000250102	LINC02377	105377424	Ensembl
ENSG00000267258			Ensembl
ENSG00000197119	SLC25A29	123096	Ensembl
ENSG00000164073	MFSD8	256471	RussLampel
ENSG00000104884	ERCC2	2068	Ensembl
ENSG00000162413	KLHL21	9903	HingoraniCasas
ANK2	ANK2	287	GO
ENSG00000228038	VN1R51P	100312801	Ensembl
ENSG00000196646	ZNF136	7695	Ensembl
ENSG00000251562	MALAT1	378938	Ensembl
ENSG00000099250	NRP1	8829	HingoraniCasas
ENSG00000213160	KLHL23	151230	HingoraniCasas
2832	EGLN2	112398	GuideToPharmacologyInteractions
ENSG00000076242	MLH1	4292	RussLampel
2225	STK4	6789	GuideToPharmacologyGenes
ENSG00000258702			Ensembl
ENSG00000265061	MIR4419B	100616298	Ensembl
ENSG00000124610	HIST1H1A	3024	Ensembl
ENSG00000244273	PGBD4P1	107161154	Ensembl
ENSG00000213697	CTBP2P6	120449	Ensembl
ENSG00000233869	RPSAP27	130429	Ensembl
ENSG00000258407			Ensembl
GABRE	GABRE	2564	ChemblInteractions
ENSG00000277349			Ensembl
ENSG00000169764	UGP2	7360	Ensembl
ENSG00000226307	HNRNPDLP1	100128595	Ensembl
ENSG00000253806			Ensembl
ENSG00000280404			Ensembl
PPM1E	PPM1E	22843	GO
G250	CA9	768	ChemblInteractions
TTDC00133	MCHR1	2847	TTD
ENSG00000203326	ZNF525	170958	Ensembl
ENSG00000143224	PPOX	5498	HingoraniCasas
P54317	PNLIPRP2	5408	HopkinsGroom
ENSG00000243749	TMEM35B	100506144	Ensembl
ENSG00000254008	LINC00051	619434	Ensembl
ENSG00000277446			Ensembl
ENSG00000223432			Ensembl
ENSG00000114857	NKTR	4820	HingoraniCasas
Q9UKX5	ITGA11	22801	HopkinsGroom
ENSG00000172239	PAIP1	10605	Ensembl
ENSG00000091128	LAMB4	22798	HingoraniCasas
ENSG00000128039	SRD5A3	79644	Ensembl
ENSG00000171483	SSX6	280657	Ensembl
ENSG00000177233	OR2M1P	388762	Ensembl
ENSG00000228548	ITPKB-AS1	100873994	Ensembl
ENSG00000109572	CLCN3	1182	Ensembl
JADE1	JADE1	79960	GO
ENSG00000273800			Ensembl
ENSG00000186020	ZNF529	57711	Ensembl
ENSG00000182518	FAM104B	90736	Ensembl
ENSG00000271338			Ensembl
ENSG00000257674			Ensembl
ENSG00000184350	MRGPRE	116534	HingoraniCasas
128370	OR6K4P	128370	dGene
ENSG00000254372			Ensembl
ENSG00000284442	MIR2110	100302224	Ensembl
ENSG00000261650			Ensembl
ENSG00000169246	NPIPB3	23117	Ensembl
ENSG00000222389	RNU2-28P	106480670	Ensembl
ENSG00000166860	ZBTB39	9880	Ensembl
ENSG00000211592	IGKC	3514	HingoraniCasas
ENSG00000183765	CHEK2	11200	HingoraniCasas
AGBL4	AGBL4	84871	GO
RANGRF	RANGRF	29098	GO
ENSG00000204789	ZNF204P	7754	Ensembl
ABCA11P	ABCA11P	79963	GO
ENSG00000271670			Ensembl
ENSG00000270241			Ensembl
PGR	PGR	5241	NCI
BACE	BACE1	23621	ChemblInteractions
1173	SLC38A5	92745	GuideToPharmacologyGenes
ENSG00000254564			Ensembl
ENSG00000230323	LINC00159	100551499	Ensembl
ENSG00000091164	TXNL1	9352	Ensembl
ENSG00000185236	RAB11B	9230	Ensembl
CERS1	CERS1	10715	GO
ENSG00000267683			Ensembl
ENSG00000136546	SCN7A	6332	Ensembl
ENSG00000230805			Ensembl
ENSG00000232050			Ensembl
ENSG00000112144	ICK	22858	RussLampel
5170	PDPK1	5170	dGene
ENSG00000214279	SCART1	619207	Ensembl
ENSG00000267574			Ensembl
ATRX	ATRX	546	FoundationOneGenes
ENSG00000254342			Ensembl
ENSG00000167634	NLRP7	199713	Ensembl
ENSG00000272991			Ensembl
ENSG00000224092			Ensembl
GRM5	GRM5	2915	GO
ENSG00000122971	ACADS	35	Ensembl
P06493	CDK1	983	HopkinsGroom
ENSG00000281856			Ensembl
ENSG00000147432	CHRNB3	1142	HingoraniCasas
cyclinb1_cdk1_human	MSLN	10232	GO
Q9Y466	NR2E1	7101	HopkinsGroom
2751	PPIA	5478	GuideToPharmacologyInteractions
ENSG00000228917			Ensembl
ENSG00000283498	MIR1244-2	100422885	Ensembl
ENSG00000173511	VEGFB	7423	Ensembl
ENSG00000253309	SERPINE3	647174	Ensembl
ENSG00000214366	EIF4EP5	100131565	Ensembl
ENSG00000252823	RNU6-148P	106479631	Ensembl
ENSG00000089685	BIRC5	332	Ensembl
ENSG00000186594	MIR22HG	84981	Ensembl
ENSG00000229800	ATP8A2P2	100533851	Ensembl
ENSG00000197635	DPP4	1803	Ensembl
ENSG00000113595	TRIM23	373	Ensembl
ENSG00000235804			Ensembl
ENSG00000065060	UHRF1BP1	54887	Ensembl
MUL1	MUL1	79594	GO
ENSG00000213959			Ensembl
390079	OR52E8	390079	dGene
P48167	GLRB	2743	HopkinsGroom
TOP2B	TOP2B	7155	ClearityFoundationClinicalTrial
ENSG00000237793	RPL18AP16	347544	Ensembl
ENSG00000112038	OPRM1	4988	HingoraniCasas
ENSG00000185246	PRPF39	55015	Ensembl
ENSG00000284427	MIR4647	100616124	Ensembl
ENSG00000197353	LYPD2	137797	Ensembl
UQCRFS1P1	UQCRFS1P1	100128525	GO
P35414	APLNR	187	HopkinsGroom
ENSG00000149926	FAM57B	83723	Ensembl
ENSG00000214210			Ensembl
ENSG00000258413			Ensembl
Q15722	LTB4R	1241	HopkinsGroom
WEE1	WEE1	7465	GO
ISG15	ISG15	9636	GO
ENSG00000129538	RNASE1	6035	HingoraniCasas
ENSG00000231842			Ensembl
SCN9A	SCN9A	6335	GO
ENSG00000252824	SNORA48	652965	Ensembl
ENSG00000166450	PRTG	283659	Ensembl
ENSG00000279658			Ensembl
ENSG00000137962	ARHGAP29	9411	Ensembl
ENSG00000267767	LINC01801	400685	Ensembl
2578	ITGB1	3688	GuideToPharmacologyInteractions
ENSG00000284453	MIR1-2	406905	Ensembl
ENSG00000253571			Ensembl
ENSG00000227871	USP9YP12	100874382	Ensembl
ENSG00000170515	PA2G4	5036	RussLampel
ENSG00000139567	ACVRL1	94	Ensembl
ENSG00000205497	OR51A4	401666	Ensembl
ENSG00000135502	SLC26A10	65012	Ensembl
ENSG00000221120	MIR1224	100187716	Ensembl
ENSG00000196639	HRH1	3269	Ensembl
USP25	USP25	29761	GO
ENSG00000180923	OR52L2P	79274	RussLampel
ENSG00000230990			Ensembl
ENSG00000164305	CASP3	836	HingoraniCasas
BRAF	BRAF	673	TALC
ENSG00000212171	RNA5SP86	100873319	Ensembl
ENSG00000177627	C12ORF54	121273	Ensembl
79296	OR52E1	79296	dGene
ENSG00000255717	SNHG1	23642	Ensembl
PLET1	PLET1	349633	GO
Q9Y4A9	OR10H1	26539	HopkinsGroom
ENSG00000175061	LRRC75A-AS1	125144	Ensembl
ENSG00000258338			Ensembl
ENSG00000250138			Ensembl
ENSG00000245534	RORA-AS1	101928784	Ensembl
ENSG00000268615			Ensembl
ENSG00000231512			Ensembl
TTDC00156	SYK	6850	TTD
PREX2	PREX2	80243	GO
ENSG00000266758	MIR3680-2	100847041	Ensembl
P51575	P2RX1	5023	HopkinsGroom
Q8IUD6	RNF135	84282	HopkinsGroom
ENSG00000212295	SNORD28B	109617011	Ensembl
ENSG00000172156	CCL11	6356	Ensembl
ENSG00000109943	CRTAM	56253	HingoraniCasas
PBRM1	PBRM1	55193	FoundationOneGenes
P03886	MT-ND1	4535	TEND
ENSG00000227713			Ensembl
ENSG00000138356	AOX1	316	HingoraniCasas
